player_name,player_name_clean,draft_year,position,position_group,school,draft_team,draft_round,draft_pick,hof,category,side,age,to,allpro,probowls,seasons_started,w_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,AV_year1,AV_year2,AV_year3,AV_year4,AV_4yr_sum,AV_4yr_avg,AV_4yr_avg_percentile,car_av_filled
David Nugent,david nugent,2000,DE,DL,purdue,nwe,6,201,False,DL,D,22.0,2002.0,0,0,0,2.0,1.0,24.0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0,0,1,1,0,2,0.5,0.267990074,2
Delbert Cowsette,delbert cowsette,2000,DT,DL,maryland,was,7,216,False,DL,D,23.0,2002.0,0,0,0,3.0,3.0,32.0,0,0,0,0,0,0,0,0,0,0,0,19,0,2.0,0,1,2,0,3,0.75,0.271232877,3
Deltha O'Neal,deltha oneal,2000,DB,DB,california,den,1,15,False,DB,D,23.0,2008.0,0,2,6,45.0,22.0,132.0,0,0,0,0,0,1,0,0,2,4,0,351,34,1.0,3,11,7,4,25,6.25,0.93510929,52
Dennis Northcutt,dennis northcutt,2000,WR,WR,arizona,cle,2,32,False,WR,O,22.0,2009.0,0,0,3,41.0,28.0,144.0,0,1,0,0,0,52,366,1,399,4941,18,5,0,0.0,3,2,8,7,20,5.0,0.808492201,49
Deon Dyer,deon dyer,2000,FB,RB,north carolina,mia,4,117,False,RB,O,22.0,2002.0,0,0,0,0.0,0.0,45.0,0,0,0,0,0,0,0,0,2,14,0,2,0,0.0,0,0,0,0,0,0.0,0.234042553,0
Deon Grant,deon grant,2000,DB,DB,tennessee,car,2,57,False,DB,D,21.0,2011.0,0,0,10,56.0,22.0,176.0,0,0,0,0,0,0,0,0,0,0,0,624,30,6.5,0,7,8,8,23,5.75,0.910519126,72
Dez White,dez white,2000,WR,WR,georgia tech,chi,3,69,False,WR,O,21.0,2005.0,0,0,4,18.0,14.0,82.0,0,0,0,0,0,8,38,0,187,2149,11,2,0,0.0,1,4,5,5,15,3.75,0.735701906,19
Dhani Jones,dhani jones,2000,LB,LB,michigan,nyg,6,177,False,LB,D,22.0,2010.0,0,0,9,54.0,14.0,157.0,0,0,0,0,0,0,0,0,0,0,0,632,5,9.5,0,2,8,7,17,4.25,0.726069246,66
Doug Chapman,doug chapman,2000,RB,RB,marshall,min,3,88,False,RB,O,23.0,2003.0,0,0,0,3.0,3.0,26.0,0,0,0,0,0,90,317,0,17,143,1,0,0,0.0,0,2,1,0,3,0.75,0.333333333,3
Drew Haddad,drew haddad,2000,WR,WR,buffalo,buf,7,233,False,WR,O,22.0,2004.0,0,0,0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,1,11,0,0,0,0.0,0,0,0,0,0,0.0,0.1152513,0
Dustin Lyman,dustin lyman,2000,TE,TE,wake forest,chi,3,87,False,TE,O,24.0,2004.0,0,0,1,2.0,2.0,55.0,0,0,0,0,0,0,0,0,37,278,3,16,0,0.0,0,0,1,1,2,0.5,0.431226766,2
Dwayne Goodrich,dwayne goodrich,2000,DB,DB,tennessee,dal,2,49,False,DB,D,22.0,2002.0,0,0,0,1.0,1.0,16.0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0,0,1,0,1,0.25,0.164617486,1
Emanuel Smith,emanuel smith,2000,WR,WR,arkansas,jax,6,196,False,WR,O,24.0,2000.0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.1152513,0
Erik Flowers,erik flowers,2000,DE,DL,arizona st.,buf,1,26,False,DL,D,22.0,2004.0,0,0,0,6.0,4.0,58.0,0,0,0,0,0,0,0,0,0,0,0,40,1,5.0,2,2,1,0,5,1.25,0.418114144,6
Erik Olson,erik olson,2000,DB,DB,colorado st.,jax,7,236,False,DB,D,23.0,2000.0,0,0,0,1.0,1.0,14.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,1,0,0,0,1,0.25,0.164617486,1
Ernest Grant,ernest grant,2000,DT,DL,ark-pine bluff,mia,6,167,False,DL,D,24.0,2002.0,0,0,0,3.0,2.0,24.0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.5,0,2,1,0,3,0.75,0.271232877,3
Erron Kinney,erron kinney,2000,TE,TE,florida,ten,3,68,False,TE,O,23.0,2005.0,0,0,6,15.0,15.0,83.0,0,0,0,0,0,0,0,0,178,1750,10,0,0,0.0,2,2,2,4,10,2.5,0.750929368,17
