player_name,player_name_clean,draft_year,college_season,position,position_group,school,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Nate Sudfeld,nate sudfeld,2016,2013,QB,QB,indiana,311.0,0.268,83.323,75.775,7.549,1.001,323.949,0.2679196141479099,0.9094127671831308,0.0905992343050538
Paul Perkins,paul perkins,2016,2013,RB,RB,ucla,150.0,0.054,8.164,19.323,-11.159,0.488,126.243,0.0544266666666666,1.0,0.0
Paxton Lynch,paxton lynch,2016,2013,QB,QB,memphis,389.0,0.174,67.852,54.601,13.251,0.845,420.475,0.174426735218509,0.8047073041325237,0.1952926958674762
Pharoh Cooper,pharoh cooper,2016,2013,WR,WR,south carolina,23.0,0.276,6.338,1.328,5.01,1.46,166.213,0.2755652173913043,0.2095298201325339,0.790470179867466
Rashard Higgins,rashard higgins,2016,2013,WR,WR,colorado state,67.0,0.765,51.263,51.263,0.0,2.564,254.398,0.7651194029850746,1.0,0.0
Ricardo Louis,ricardo louis,2016,2013,WR,WR,auburn,40.0,0.491,19.648,14.186,5.462,1.503,100.552,0.4911999999999999,0.722007328990228,0.277992671009772
Sterling Shepard,sterling shepard,2016,2013,WR,WR,oklahoma,48.0,0.742,35.637,35.23,0.407,2.226,187.808,0.7424375,0.988579285573982,0.0114207144260179
Tajae Sharpe,tajae sharpe,2016,2013,WR,WR,umass,71.0,0.583,41.42,41.42,0.0,1.677,206.075,0.5833802816901409,1.0,0.0
Tyler Boyd,tyler boyd,2016,2013,WR,WR,pittsburgh,93.0,0.907,84.388,82.154,2.234,2.071,245.14,0.9073978494623656,0.9735270417594918,0.0264729582405081
Wendell Smallwood,wendell smallwood,2016,2013,RB,RB,west virginia,50.0,0.282,14.087,11.792,2.295,0.7,113.77100000000002,0.28174,0.8370838361609995,0.1629161638390004
Zac Brooks,zac brooks,2016,2013,RB,RB,clemson,51.0,0.299,15.244,6.08,9.164,0.528,28.092,0.2989019607843137,0.3988454473891367,0.6011545526108633
Aaron Jones,aaron jones,2017,2013,RB,RB,utep,133.0,0.007,0.895,0.022,0.873,0.8340000000000001,126.494,0.0067293233082706,0.0245810055865921,0.9754189944134078
Amara Darboh,amara darboh,2017,2014,WR,WR,michigan,53.0,0.534,28.312,28.312,0.0,1.77,141.35399999999998,0.534188679245283,1.0,0.0
Ardarius Stewart,ardarius stewart,2017,2014,WR,WR,alabama,16.0,0.488,7.811,7.811,0.0,1.499,96.809,0.4881875,1.0,0.0
Brad Kaaya,brad kaaya,2017,2014,QB,QB,miami,401.0,0.309,123.944,128.949,-5.005,1.017,433.63,0.3090872817955112,1.0,0.0
